time,I
0.0,50.0
0.001001001001001001,57.25725725725725
0.002002002002002002,64.5145145145145
0.003003003003003003,71.77177177177177
0.004004004004004004,79.02902902902902
0.005005005005005005,86.28628628628627
0.006006006006006006,93.54354354354354
0.007007007007007007,100.80080080080079
0.008008008008008008,108.05805805805804
0.009009009009009009,115.31531531531529
0.01001001001001001,122.57257257257255
0.011011011011011011,129.8298298298298
0.012012012012012012,137.08708708708707
0.013013013013013013,144.3443443443443
0.014014014014014014,151.60160160160157
0.015015015015015015,158.8588588588588
0.016016016016016016,166.11611611611607
0.017017017017017015,173.37337337337334
0.018018018018018018,180.63063063063058
0.01901901901901902,187.88788788788784
0.02002002002002002,195.1451451451451
0.02102102102102102,202.40240240240234
0.022022022022022022,209.6596596596596
0.023023023023023025,216.91691691691685
0.024024024024024024,224.1741741741741
0.025025025025025023,231.43143143143138
0.026026026026026026,238.68868868868861
0.02702702702702703,245.94594594594588
0.028028028028028028,253.20320320320315
0.029029029029029027,260.46046046046035
0.03003003003003003,267.7177177177176
0.031031031031031032,274.9749749749749
0.03203203203203203,282.23223223223215
0.03303303303303303,289.4894894894894
0.03403403403403403,296.7467467467467
0.035035035035035036,304.00400400400395
0.036036036036036036,311.26126126126115
0.037037037037037035,318.5185185185184
0.03803803803803804,325.7757757757757
0.03903903903903904,333.03303303303295
0.04004004004004004,340.2902902902902
0.04104104104104104,347.5475475475476
0.04204204204204204,354.80480480480486
0.043043043043043044,362.0620620620621
0.044044044044044044,369.31931931931933
0.04504504504504504,376.5765765765765
0.04604604604604605,383.8338338338337
0.04704704704704705,391.09109109109096
0.04804804804804805,398.3483483483484
0.04904904904904905,405.6056056056056
0.050050050050050046,412.86286286286287
0.05105105105105105,420.12012012012013
0.05205205205205205,427.3773773773774
0.05305305305305305,434.63463463463466
0.05405405405405406,441.89189189189193
0.055055055055055056,449.14914914914914
0.056056056056056056,456.4064064064064
0.057057057057057055,463.66366366366367
0.058058058058058054,470.92092092092093
0.05905905905905906,478.1781781781782
0.06006006006006006,485.4354354354354
0.06106106106106106,492.6926926926927
0.062062062062062065,499.94994994994994
0.06306306306306306,507.2072072072072
0.06406406406406406,514.4644644644645
0.06506506506506507,521.7217217217217
0.06606606606606606,528.978978978979
0.06706706706706707,536.2362362362364
0.06806806806806806,543.4934934934934
0.06906906906906907,550.7507507507509
0.07007007007007007,558.0080080080079
0.07107107107107107,565.2652652652654
0.07207207207207207,572.5225225225223
0.07307307307307308,579.7797797797799
0.07407407407407407,587.0370370370368
0.07507507507507508,594.2942942942944
0.07607607607607608,601.5515515515514
0.07707707707707707,608.8088088088089
0.07807807807807808,616.0660660660659
0.07907907907907907,623.3233233233234
0.08008008008008008,630.5805805805804
0.08108108108108109,637.8378378378379
0.08208208208208208,645.0950950950952
0.08308308308308308,652.3523523523525
0.08408408408408408,659.6096096096097
0.08508508508508508,666.866866866867
0.08608608608608609,674.1241241241243
0.08708708708708708,681.3813813813814
0.08808808808808809,688.6386386386387
0.0890890890890891,695.8958958958959
0.09009009009009009,703.153153153153
0.09109109109109109,710.4104104104105
0.0920920920920921,717.6676676676674
0.09309309309309309,724.924924924925
0.0940940940940941,732.1821821821819
0.09509509509509509,739.4394394394395
0.0960960960960961,746.6966966966968
0.0970970970970971,753.953953953954
0.0980980980980981,761.2112112112112
0.0990990990990991,768.4684684684685
0.10010010010010009,775.7257257257257
0.1011011011011011,782.982982982983
0.1021021021021021,790.2402402402403
0.1031031031031031,797.4974974974975
0.1041041041041041,804.7547547547548
0.10510510510510511,812.0120120120121
0.1061061061061061,819.2692692692693
0.10710710710710711,826.5265265265266
0.10810810810810811,833.7837837837839
0.1091091091091091,841.041041041041
0.11011011011011011,848.2982982982983
0.1111111111111111,855.5555555555555
0.11211211211211211,862.8128128128128
0.11311311311311312,870.0700700700701
0.11411411411411411,877.3273273273273
0.11511511511511512,884.5845845845846
0.11611611611611611,891.8418418418419
0.11711711711711711,899.0990990990991
0.11811811811811812,906.3563563563564
0.11911911911911911,913.6136136136137
0.12012012012012012,920.8708708708708
0.12112112112112113,928.1281281281281
0.12212212212212212,935.3853853853853
0.12312312312312312,942.6426426426426
0.12412412412412413,949.8998998998999
0.12512512512512514,957.1571571571571
0.12612612612612611,964.4144144144144
0.12712712712712712,971.6716716716717
0.12812812812812813,978.9289289289289
0.12912912912912913,986.1861861861862
0.13013013013013014,993.4434434434434
0.13113113113113112,1000.7007007007006
0.13213213213213212,1007.9579579579579
0.13313313313313313,1015.2152152152152
0.13413413413413414,1022.4724724724724
0.13513513513513514,1029.7297297297296
0.13613613613613612,1036.986986986987
0.13713713713713713,1044.2442442442443
0.13813813813813813,1051.5015015015015
0.13913913913913914,1058.7587587587586
0.14014014014014015,1066.016016016016
0.14114114114114115,1073.2732732732732
0.14214214214214213,1080.5305305305305
0.14314314314314314,1087.7877877877877
0.14414414414414414,1095.045045045045
0.14514514514514515,1102.3023023023022
0.14614614614614616,1109.5595595595596
0.14714714714714713,1116.8168168168168
0.14814814814814814,1124.074074074074
0.14914914914914915,1131.3313313313313
0.15015015015015015,1138.5885885885884
0.15115115115115116,1145.8458458458458
0.15215215215215216,1153.103103103103
0.15315315315315314,1160.3603603603603
0.15415415415415415,1167.6176176176175
0.15515515515515516,1174.8748748748749
0.15615615615615616,1182.132132132132
0.15715715715715717,1189.3893893893892
0.15815815815815815,1196.6466466466466
0.15915915915915915,1203.9039039039037
0.16016016016016016,1211.161161161161
0.16116116116116116,1218.4184184184182
0.16216216216216217,1225.6756756756758
